gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnProbability,CustomerSegment
1,1,1,0,58,1,2,1,2,2,2,0,2,2,1,1,2,108.85,5079,1,0.20390070970706226,Loyal
0,0,1,1,35,0,1,0,2,0,0,2,2,0,2,1,1,46.35,1146,0,0.044186529883845506,Loyal
0,1,0,0,16,1,2,1,0,0,0,0,2,0,0,1,2,84.75,641,1,0.6803072872278391,Dormant
1,0,1,1,45,1,2,0,0,2,2,0,2,2,1,0,1,78.75,3119,0,0.09106856785916174,Loyal
0,0,0,0,17,1,0,1,0,2,0,0,2,0,0,1,2,83.55,598,0,0.516286304930692,Dormant
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,45.7,3822,1,0.4184847271209318,Dormant
1,0,0,0,22,1,0,2,1,1,1,1,1,1,1,0,3,19.6,3602,0,0.05546148432587991,Loyal
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.95,5455,1,0.7257589230610917,At Risk
1,0,1,1,67,1,0,0,2,0,2,2,0,2,2,0,3,67.85,3924,0,0.00787833580373289,Loyal
0,0,1,1,67,1,2,1,0,0,2,2,2,2,2,1,0,105.65,5327,0,0.0719185873166476,Loyal
0,0,1,0,2,0,1,0,0,0,0,0,2,2,0,0,2,44.6,6482,1,0.6981481573948067,Dormant
1,0,0,0,23,1,2,1,0,0,0,0,0,0,0,1,2,74.95,1211,1,0.5167266837854501,Dormant
0,1,0,0,9,1,0,1,0,0,2,0,0,0,0,0,1,75.5,5136,0,0.5752974030199549,Dormant
0,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,20.15,317,0,0.1612902510742202,Loyal
1,0,0,0,54,0,1,0,2,0,0,2,2,0,2,0,1,45.2,2114,0,0.01902009716330579,Loyal
0,0,0,0,57,1,0,1,0,0,2,0,2,2,2,1,2,95.25,4539,1,0.12158282764658579,Loyal
1,0,0,0,24,1,2,1,0,0,2,0,2,0,0,1,3,89.85,1779,1,0.5949500224218532,Dormant
0,0,1,1,49,1,2,1,0,2,0,0,2,2,1,0,3,100.45,4189,1,0.22715828683046616,Loyal
1,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,2,47.15,1861,1,0.3496389896251898,Dormant
1,0,0,0,2,1,0,1,0,0,0,0,0,2,0,1,2,80.2,1357,1,0.6997541939319473,Dormant
0,0,0,1,4,1,2,1,0,0,2,2,0,0,0,1,3,87.1,2953,1,0.6042412741564112,Dormant
1,0,1,1,70,1,2,0,2,2,2,2,2,0,2,1,0,79.25,4736,0,0.009530074474898908,Loyal
1,0,0,0,5,1,2,1,0,0,0,0,0,0,0,1,0,75.9,3094,1,0.6643316928706862,Dormant
1,0,1,1,53,1,2,0,2,0,2,2,2,2,0,0,2,85.7,3920,0,0.0900242891195387,Loyal
0,0,1,0,47,1,2,1,2,2,2,0,2,0,0,1,2,98.75,3859,1,0.3073745407742221,Dormant
0,0,0,1,31,1,0,2,1,1,1,1,1,1,1,0,1,20.1,4831,0,0.034733818756933314,Loyal
1,0,1,1,13,1,0,0,0,2,2,2,0,0,0,0,0,61.8,5779,0,0.16840207306343252,Loyal
0,0,1,1,28,1,2,0,0,0,0,0,0,0,0,0,3,49.9,751,0,0.1977305705165384,Loyal
0,0,0,0,10,1,2,1,0,0,0,0,0,2,0,0,2,86.45,6137,1,0.7129362734986221,At Risk
1,0,1,0,38,1,0,2,1,1,1,1,1,1,2,0,0,20.4,5742,0,0.016651525034733047,Loyal
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,45.3,3816,1,0.46300958437705725,Dormant
1,0,1,0,67,1,2,1,0,2,2,0,2,2,1,0,2,104.1,5541,1,0.15363832583505804,Loyal
1,0,1,0,52,1,0,0,2,2,0,0,2,2,1,1,3,75.4,3305,0,0.0718999476630893,Loyal
1,0,1,1,62,1,0,1,2,2,2,2,2,2,2,0,3,108.15,5393,0,0.028436846352936498,Loyal
0,0,0,0,16,1,0,1,0,2,0,0,0,2,0,1,2,86.25,622,0,0.5671447242902644,Dormant
0,1,1,0,5,1,2,1,0,2,0,0,0,0,0,1,2,81.0,3200,1,0.7247529103686555,At Risk
1,0,0,0,12,1,0,1,0,0,2,0,2,2,1,0,2,95.7,344,0,0.41541093846954774,Dormant
0,0,1,1,72,1,2,1,2,2,2,2,2,2,2,1,0,116.85,6202,0,0.038470245754091324,Loyal
1,1,0,0,71,1,2,1,0,2,0,2,2,2,1,0,0,105.75,5705,0,0.10399897213345004,Loyal
0,0,1,0,24,1,0,2,1,1,1,1,1,1,1,0,3,20.15,3885,0,0.06020156041787728,Loyal
0,0,0,0,15,1,0,2,1,1,1,1,1,1,2,0,3,19.6,2875,0,0.03479798406032677,Loyal
1,0,1,0,67,1,0,1,2,2,0,0,0,2,1,1,1,90.6,4951,1,0.08127065733033993,Loyal
1,0,0,1,2,1,2,0,2,2,0,0,0,0,0,0,0,60.95,619,0,0.19968451047422656,Loyal
0,0,1,1,5,0,1,0,0,0,0,0,0,0,0,0,3,25.05,455,0,0.410931582574015,Dormant
0,0,1,0,15,1,0,1,0,0,0,0,2,2,0,0,2,88.15,713,1,0.5921285491548858,Dormant
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,20.2,1610,1,0.23863103212049128,Loyal
1,0,1,1,41,1,0,0,2,2,2,0,0,0,1,1,0,60.3,2171,0,0.036627047127248506,Loyal
0,0,0,1,43,1,0,0,2,2,0,0,0,2,0,1,2,63.95,2380,0,0.10388361490631545,Loyal
1,1,1,0,1,1,2,1,0,0,0,0,0,0,0,0,2,74.3,5717,0,0.7232818527357187,At Risk
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.6,5513,0,0.7418000392487346,At Risk
0,0,1,1,26,1,0,1,0,0,0,0,2,2,0,1,2,90.8,1998,1,0.5689861464457915,Dormant
1,0,0,0,22,1,2,1,0,2,0,0,0,0,0,1,2,79.35,1238,1,0.48559789891645105,Dormant
1,0,1,0,71,1,2,0,2,2,2,2,2,2,2,0,0,90.55,5161,0,0.012277174487880908,Loyal
1,0,0,0,7,1,0,2,1,1,1,1,1,1,2,0,3,19.45,1127,0,0.03876054793065349,Loyal
0,1,0,0,28,1,2,0,0,2,2,2,0,0,0,0,0,64.45,1438,0,0.147879877588739,Loyal
1,1,0,0,16,1,0,1,0,0,0,0,0,0,0,0,2,69.65,83,0,0.44228969052525574,Dormant
1,0,0,0,7,1,0,2,1,1,1,1,1,1,1,0,3,19.5,513,0,0.07516762438149664,Loyal
0,0,0,0,69,1,2,1,0,2,2,2,2,2,2,1,0,110.5,5749,0,0.06797210328962072,Loyal
0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,24.7,2042,0,0.44662346271020154,Dormant
1,0,0,0,3,1,0,0,2,0,2,0,2,2,0,1,2,77.4,1685,0,0.44871214494000283,Dormant
1,1,0,0,21,1,0,1,0,0,2,0,2,2,0,1,0,96.8,1663,1,0.6405305451125666,Dormant
0,0,1,0,69,1,2,1,0,2,2,0,0,0,0,1,0,85.4,4820,0,0.19634796462870807,Loyal
0,0,1,0,71,0,1,0,2,2,2,2,0,0,2,1,0,47.6,2931,0,0.011867634965578274,Loyal
0,0,1,1,69,1,0,2,1,1,1,1,1,1,2,0,3,19.4,631,0,0.004479266097075209,Loyal
0,0,0,0,48,1,2,1,0,0,2,2,2,2,0,1,2,103.85,4190,0,0.423485429097002,Dormant
1,0,1,0,47,1,2,1,0,2,2,0,0,0,0,1,0,83.35,3476,1,0.2986668104367162,Loyal
0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1,2,49.4,116,1,0.4563378886625692,Dormant
1,0,0,0,45,1,2,1,2,0,2,2,2,2,0,1,1,108.45,4200,0,0.31792954511055493,Dormant
1,0,0,0,51,1,2,1,0,2,0,0,0,0,0,0,0,81.0,3485,0,0.21157803799022457,Loyal
0,0,1,0,22,1,2,0,2,0,0,2,2,2,0,1,2,79.2,1260,1,0.294538067228406,Loyal
1,0,0,0,72,1,2,0,2,2,2,2,2,2,2,0,0,86.65,5055,0,0.00993703768807727,Loyal
1,0,1,1,37,1,2,1,0,2,2,0,2,0,0,1,2,92.95,2959,0,0.40819469543617104,Dormant
1,0,1,1,71,1,2,0,2,2,2,2,2,2,2,0,2,90.35,5111,0,0.011279701664348484,Loyal
1,0,1,1,7,1,0,0,0,0,2,0,0,0,0,0,2,48.7,2945,1,0.26448525069737067,Loyal
0,0,0,0,66,1,2,2,1,1,1,1,1,1,2,1,1,25.15,1178,0,0.009866993055146323,Loyal
1,0,1,1,51,1,0,0,2,0,0,2,2,2,1,1,0,76.4,3390,0,0.043754900699855506,Loyal
0,0,1,1,30,1,0,2,1,1,1,1,1,1,1,0,0,19.55,4969,0,0.03595383812101613,Loyal
0,0,0,0,34,1,2,1,0,0,0,0,2,0,0,0,2,85.35,2500,0,0.441855973437943,Dormant
1,0,1,1,64,1,2,2,1,1,1,1,1,1,2,1,3,24.8,932,0,0.009708165704705084,Loyal
1,1,1,0,65,1,2,1,0,2,2,0,2,2,1,1,0,103.15,5374,0,0.21562832354056005,Loyal
1,0,0,0,47,1,2,1,2,2,0,2,2,0,0,0,3,100.75,3948,0,0.18329564966033354,Loyal
0,0,0,0,1,1,0,1,2,0,0,0,2,2,0,1,2,95.6,6445,1,0.7441125184913681,At Risk
0,0,0,0,49,1,2,0,2,2,0,0,0,0,0,1,1,59.75,2537,1,0.09578894458298842,Loyal
0,0,1,1,67,1,2,1,0,2,0,2,2,0,2,0,1,94.1,5097,0,0.03280464974054467,Loyal
1,0,0,1,39,1,0,2,1,1,1,1,1,1,1,0,0,19.35,5904,0,0.024916588122502793,Loyal
1,0,0,0,14,1,0,2,1,1,1,1,1,1,0,0,3,19.9,2444,0,0.13131166827647234,Loyal
0,1,0,0,43,1,0,1,2,2,0,2,2,2,0,1,1,108.15,3911,1,0.3090392471366292,Dormant
1,1,0,0,56,1,2,1,0,0,2,0,2,2,0,1,2,101.05,4629,0,0.4942951497331526,Dormant
0,0,0,0,14,1,0,0,0,0,0,2,0,2,1,0,1,59.1,5880,0,0.15746075356412895,Loyal
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,71.35,5569,1,0.6251278619350604,Dormant
1,0,1,1,16,1,0,0,2,2,0,0,0,0,1,1,3,55.85,6236,0,0.11997643063964071,Loyal
1,0,1,1,70,1,2,1,2,2,0,0,2,2,0,1,2,106.05,5804,0,0.21384578919196656,Loyal
1,1,1,0,72,1,2,0,2,2,2,0,2,2,2,1,1,84.1,4900,0,0.02772171079533202,Loyal
0,0,1,1,23,1,0,1,0,0,2,0,0,0,0,1,1,75.3,1202,0,0.4083304442639649,Dormant
1,0,0,1,21,1,2,2,1,1,1,1,1,1,0,0,3,24.7,3949,0,0.12559407375539175,Loyal
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,20.15,1609,1,0.24815464737387366,Loyal
1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,69.75,5451,1,0.5213090256706083,Dormant
0,1,1,0,32,1,2,1,0,0,0,0,2,2,0,1,2,93.2,2534,1,0.6717667995219128,Dormant
1,0,1,1,17,1,0,1,0,0,0,0,2,0,0,0,2,80.85,735,1,0.4410413496586116,Dormant
0,0,0,0,4,0,1,0,2,2,0,0,0,0,0,1,2,33.65,667,1,0.3714195416179311,Dormant
0,0,0,0,36,1,2,0,0,0,2,0,0,0,1,0,2,55.8,1546,0,0.09363048234391949,Loyal
0,0,0,0,50,0,1,0,0,2,2,2,0,0,2,0,1,39.7,1535,0,0.022272223531511915,Loyal
0,0,1,1,48,0,1,0,0,0,0,2,0,0,0,1,1,29.5,777,0,0.12511463903434192,Loyal
0,0,0,1,50,1,0,2,1,1,1,1,1,1,2,0,1,20.15,6487,0,0.009926482959348743,Loyal
1,0,1,0,72,1,2,0,2,2,2,2,0,2,2,0,1,79.55,4790,0,0.009274257898324267,Loyal
1,0,0,1,10,1,2,2,1,1,1,1,1,1,0,0,1,24.8,1865,0,0.14062280928657292,Loyal
0,0,0,0,18,1,0,2,1,1,1,1,1,1,0,0,3,19.65,3349,0,0.12722683741584745,Loyal
1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,79.95,5975,1,0.7387403568686641,At Risk
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,2,19.3,1481,1,0.17776989937682663,Loyal
1,0,0,0,9,1,0,1,0,0,2,0,2,2,0,1,2,94.05,6069,0,0.752071236000451,At Risk
1,0,0,0,2,1,2,1,2,0,0,0,0,2,0,0,3,90.75,1254,0,0.61251761470549,Dormant
0,0,1,0,40,1,2,1,0,0,0,2,0,0,0,1,1,78.85,2717,0,0.3237997250295902,Dormant
1,0,1,0,69,1,2,1,0,0,2,0,2,2,1,0,0,99.5,5405,0,0.14804114215740902,Loyal
0,0,1,0,37,1,2,1,2,0,2,2,0,2,1,1,2,99.2,3225,1,0.2069623507389935,Loyal
1,0,0,1,18,1,2,1,0,0,2,0,0,0,0,1,1,80.55,743,0,0.4896029340383456,Dormant
1,1,1,0,11,1,0,1,0,0,0,0,0,0,0,1,2,70.2,6157,0,0.6683820940369846,Dormant
0,0,1,0,8,1,2,1,0,0,0,0,0,2,0,1,1,85.2,5074,1,0.7726436237769566,At Risk
0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,2,75.25,2063,1,0.6267217676217418,Dormant
1,0,1,1,55,1,0,0,2,0,0,0,0,2,1,0,1,59.45,2740,0,0.02955631947251318,Loyal
1,0,1,0,33,1,2,1,0,2,2,0,0,2,0,1,2,93.35,2689,0,0.5142828567162239,Dormant
0,0,0,0,46,1,0,0,0,0,0,0,0,0,0,0,0,44.95,1781,0,0.09075992887631743,Loyal
1,0,0,0,34,1,2,2,1,1,1,1,1,1,2,0,0,26.1,6502,0,0.025383818067652657,Loyal
0,0,0,0,3,1,0,2,1,1,1,1,1,1,0,0,2,20.2,5207,0,0.20400205332354593,Loyal
1,0,1,1,30,1,0,2,1,1,1,1,1,1,2,0,3,21.25,5578,0,0.021623633743689925,Loyal
0,0,0,0,33,1,2,0,2,0,0,2,0,0,1,0,2,59.4,1556,0,0.048182981364896064,Loyal
1,0,1,1,45,1,2,1,0,2,2,0,0,2,1,1,1,95.0,3709,0,0.22422497647060566,Loyal
1,0,0,0,40,1,0,0,2,2,0,2,0,0,0,1,3,61.9,2291,0,0.07702293566319994,Loyal
0,0,0,0,71,1,2,1,2,2,2,2,2,2,2,1,2,118.65,6201,0,0.05295507944828852,Loyal
1,0,0,0,1,1,2,0,0,0,2,0,0,0,0,0,2,54.35,4487,1,0.4302362046440109,Dormant
0,0,1,1,72,0,1,0,2,2,2,2,2,2,2,0,0,64.45,3855,0,0.012208088638606061,Loyal
0,0,1,1,22,1,0,1,0,0,0,0,0,2,0,1,2,80.15,1331,0,0.5232951407314838,Dormant
1,0,1,1,46,1,0,2,1,1,1,1,1,1,1,1,0,20.2,6192,0,0.030429521763261115,Loyal
0,0,1,1,55,1,0,2,1,1,1,1,1,1,2,0,3,21.0,384,0,0.007359797715710242,Loyal
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.45,1615,0,0.18469579163313526,Loyal
0,0,0,0,12,1,2,0,0,0,0,2,2,2,1,1,3,75.85,6222,0,0.37251656233976516,Dormant
1,0,0,0,31,1,2,1,0,2,0,0,0,0,0,1,2,80.45,2077,0,0.42968529561093066,Dormant
1,0,1,0,5,0,1,0,0,0,0,0,0,0,0,1,2,24.95,4,1,0.5072390824213965,Dormant
0,0,1,1,67,1,2,0,2,0,0,0,2,2,2,1,2,75.5,4379,0,0.029477091482133837,Loyal
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,44.45,3742,0,0.3635994753694691,Dormant
1,0,1,0,40,0,1,0,2,2,2,0,0,0,1,1,2,42.35,1221,1,0.0887854139688747,Loyal
1,0,1,1,41,1,2,0,2,2,2,0,2,0,0,1,1,74.55,2626,0,0.1301643424813692,Loyal
1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,75.3,5769,1,0.746031378578224,At Risk
1,0,0,0,51,1,2,1,2,2,0,0,2,0,1,1,2,94.8,4083,1,0.14669794888750282,Loyal
1,0,1,1,42,0,1,0,2,0,2,2,2,0,2,0,1,48.15,1666,0,0.0228994251584132,Loyal
1,0,1,1,23,1,0,2,1,1,1,1,1,1,1,0,3,19.65,3704,0,0.04780199246507873,Loyal
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.55,5512,1,0.7295684222429799,At Risk
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,1609,0,0.19153511212119098,Loyal
0,0,0,0,56,1,2,1,2,2,0,0,2,2,0,1,1,106.6,4835,0,0.3208424544597535,Dormant
1,0,0,1,15,1,2,1,0,2,0,0,2,0,0,1,2,91.0,797,0,0.5645098505899913,Dormant
1,0,1,1,12,1,2,2,1,1,1,1,1,1,2,1,0,25.4,2719,0,0.05013355747346469,Loyal
0,0,1,1,54,1,0,0,2,0,2,2,0,2,2,0,0,69.95,3313,0,0.01089043594501689,Loyal
0,0,0,0,7,1,0,0,0,0,0,0,2,2,0,1,2,66.85,3895,0,0.5644997251585661,Dormant
0,0,1,1,33,1,2,1,0,0,0,0,0,2,0,0,1,86.15,2385,1,0.4307392944791345,Dormant
1,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,20.15,2952,0,0.10786803153959774,Loyal
0,0,0,1,21,1,0,0,2,0,2,0,0,2,1,0,3,64.85,610,0,0.08652492171055727,Loyal
1,1,1,0,30,1,2,0,0,0,2,0,2,2,2,0,2,74.85,1797,0,0.11949351471728084,Loyal
1,0,0,0,3,1,0,0,0,0,0,2,0,0,0,1,3,50.5,867,0,0.31378172667691445,Dormant
1,0,0,0,11,1,0,1,0,0,2,0,0,0,0,0,2,72.9,6091,0,0.514033066593607,Dormant
0,0,0,0,62,1,2,1,2,2,2,2,2,2,1,1,1,115.05,5597,0,0.11525192731667179,Loyal
1,0,0,0,18,1,0,2,1,1,1,1,1,1,0,0,2,19.0,3016,0,0.11138227616350178,Loyal
1,0,0,1,6,1,0,2,1,1,1,1,1,1,0,0,3,19.55,513,0,0.1255646048514871,Loyal
0,0,0,0,46,1,2,1,0,0,2,0,2,2,1,1,2,101.1,3956,0,0.3591064563779245,Dormant
1,0,0,0,21,1,2,1,0,0,0,0,0,2,0,1,2,84.1,1246,0,0.6166592133947763,Dormant
1,0,0,0,68,1,2,2,1,1,1,1,1,1,2,1,0,24.15,901,0,0.007899419257867545,Loyal
0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,2,50.1,4225,0,0.5281026588775237,Dormant
0,0,1,0,25,1,0,1,0,0,2,0,0,0,0,1,2,74.6,1338,0,0.45342058460164586,Dormant
0,0,0,1,24,1,0,2,1,1,1,1,1,1,2,0,3,19.75,4211,0,0.02307408425383629,Loyal
0,0,1,0,30,1,2,1,0,0,0,0,0,2,0,1,2,85.0,2271,1,0.5935623597240872,Dormant
0,0,0,0,2,1,0,1,0,0,0,0,0,2,0,0,2,80.55,1395,1,0.6408681455727105,Dormant
1,0,1,0,51,1,2,1,0,2,2,0,2,2,1,1,0,106.8,4557,0,0.28009362451512293,Loyal
0,0,1,1,57,1,2,0,2,0,2,2,2,2,2,1,2,84.5,4086,0,0.02778240034896851,Loyal
0,0,0,0,15,1,2,2,1,1,1,1,1,1,2,0,0,25.05,3180,0,0.04016625622779963,Loyal
0,0,1,1,72,1,0,0,2,2,2,2,2,2,2,1,0,83.7,4980,0,0.009942196478608752,Loyal
0,0,0,0,2,1,0,1,0,0,2,0,0,0,0,1,2,75.8,1056,1,0.6300438302922987,Dormant
1,0,1,0,28,1,2,1,0,2,2,0,2,0,0,0,1,96.6,2335,0,0.45022354153507377,Dormant
1,1,1,0,29,1,2,1,0,0,2,0,2,2,0,1,2,98.5,2601,1,0.683965956763116,Dormant
1,0,1,1,70,1,0,1,2,2,2,2,2,0,2,1,1,101.1,5498,0,0.020449195508207927,Loyal
0,0,0,0,13,1,0,2,1,1,1,1,1,1,1,0,3,20.2,2375,0,0.0735499064952626,Loyal
0,1,1,0,59,1,2,1,2,2,2,2,0,0,1,1,2,94.05,4550,0,0.08760688078352755,Loyal
1,1,1,0,13,1,2,1,0,0,0,0,2,2,0,1,2,95.25,428,1,0.7749148284401374,At Risk
1,1,1,0,7,1,2,1,0,0,0,0,0,0,0,1,3,74.4,4411,1,0.746471570563421,At Risk
0,0,1,0,62,1,0,0,2,0,2,2,2,2,2,0,3,81.0,4217,0,0.017130034128527608,Loyal
0,0,0,0,21,1,0,0,2,0,2,2,0,0,1,1,2,60.25,470,0,0.06942431420918796,Loyal
0,0,0,0,2,1,0,0,0,0,2,0,0,2,0,0,2,60.85,210,0,0.3991713125965834,Dormant
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,43.95,3661,0,0.3435184086854048,Dormant
1,0,0,0,4,1,0,1,0,0,2,0,0,2,0,0,2,86.05,2672,0,0.6321370421529825,Dormant
0,0,0,0,19,1,0,2,1,1,1,1,1,1,1,0,1,20.25,3279,0,0.057042841618337926,Loyal
0,0,0,0,30,1,0,1,0,0,0,2,2,0,0,0,2,85.15,2214,1,0.3153570955346519,Dormant
1,0,1,1,67,1,0,2,1,1,1,1,1,1,2,1,1,19.4,517,0,0.005554312169925228,Loyal
1,1,1,0,72,1,2,1,2,2,2,0,0,2,2,1,1,102.65,5802,0,0.06005711645996947,Loyal
1,0,1,0,53,1,0,2,1,1,1,1,1,1,2,0,1,19.9,212,0,0.007754506650275121,Loyal
0,0,0,0,5,1,0,2,1,1,1,1,1,1,1,0,2,19.55,6510,0,0.10849724935147842,Loyal
1,1,1,0,71,1,0,1,0,2,2,2,0,2,2,1,1,95.5,5323,0,0.046314457202434725,Loyal
0,0,1,1,50,1,2,0,0,2,2,2,2,2,1,1,1,84.15,3560,0,0.08328207719718601,Loyal
1,0,1,1,56,1,2,1,0,0,2,2,2,2,2,1,2,103.2,4825,0,0.09872755098973285,Loyal
1,0,0,0,2,1,0,0,0,0,0,2,0,0,0,1,1,50.2,174,0,0.2850449675308752,Loyal
0,1,0,0,2,1,2,1,0,0,2,0,0,2,0,1,2,88.55,1325,1,0.7904986577777662,At Risk
1,0,1,1,24,1,2,0,2,0,0,0,0,0,0,0,2,54.75,614,1,0.13901634947433644,Loyal
1,0,1,1,46,1,0,2,1,1,1,1,1,1,2,0,1,19.95,6245,0,0.011319045287704643,Loyal
1,0,1,0,71,1,2,1,2,2,2,2,2,2,2,1,2,116.25,6232,0,0.05075377368581045,Loyal
0,0,0,0,29,0,1,0,0,0,0,2,0,0,0,1,2,31.2,6380,0,0.32132957542610663,Dormant
1,0,1,1,69,1,2,2,1,1,1,1,1,1,2,0,0,24.45,1222,0,0.004956299177135492,Loyal
1,0,1,0,71,1,2,0,0,2,2,2,2,2,2,0,1,84.2,4880,0,0.01894526764184844,Loyal
0,1,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,91.3,6344,1,0.843614454986509,At Risk
1,1,1,0,56,1,0,0,2,2,2,2,2,2,2,1,0,85.65,4076,0,0.023180034195388402,Loyal
1,0,0,1,56,1,0,2,1,1,1,1,1,1,1,1,3,21.2,437,0,0.018221409737935904,Loyal
1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,79.5,5968,1,0.7363458552874653,At Risk
0,0,1,0,28,1,2,2,1,1,1,1,1,1,1,0,3,25.55,5329,0,0.07691444678716365,Loyal
0,0,1,1,19,1,0,2,1,1,1,1,1,1,0,0,3,20.2,3271,0,0.11111390836239268,Loyal
1,0,1,0,66,1,2,0,0,0,0,2,0,2,0,0,2,63.85,3635,0,0.07984963566146917,Loyal
0,0,1,1,17,1,2,0,0,0,2,2,0,0,1,1,3,61.95,140,0,0.14577652288085824,Loyal
1,0,1,1,52,1,2,2,1,1,1,1,1,1,2,0,3,25.75,630,0,0.010509790847350101,Loyal
0,0,0,0,19,1,0,0,0,2,0,0,2,0,1,0,2,58.2,87,0,0.11594139028123511,Loyal
0,0,0,0,36,1,0,0,2,2,2,2,2,2,1,0,0,85.85,2600,0,0.05043075214290973,Loyal
1,1,1,0,7,1,0,1,0,0,0,0,0,0,0,1,3,70.1,3951,1,0.6830823545841054,Dormant
1,0,1,1,72,1,2,1,2,2,2,2,0,2,1,1,1,104.9,5790,0,0.05654644373686674,Loyal
1,0,1,1,67,1,2,1,2,2,2,0,2,2,1,1,2,111.3,5762,1,0.12616957331923878,Loyal
1,1,0,0,34,1,0,1,0,2,2,0,2,2,1,1,2,99.85,2901,0,0.35521061404107523,Dormant
1,1,1,0,57,1,2,1,0,2,2,0,0,2,0,1,0,95.25,4507,1,0.3670836089884708,Dormant
0,0,1,0,7,1,0,1,0,0,2,0,2,0,0,1,2,86.25,4821,1,0.7162108246504303,At Risk
0,1,1,0,1,1,2,1,0,0,2,0,2,2,0,1,2,100.8,5,1,0.8428741242493094,At Risk
1,0,1,0,8,1,0,2,1,1,1,1,1,1,0,1,0,19.55,1066,0,0.17388165050887278,Loyal
0,0,0,0,69,1,2,1,0,0,2,2,2,2,2,0,2,104.0,5532,0,0.06091994622288564,Loyal
0,0,1,0,50,1,2,1,2,0,2,0,2,2,1,1,3,104.4,4386,0,0.2623920161919847,Loyal
1,0,0,0,10,1,0,2,1,1,1,1,1,1,1,0,3,19.5,1888,0,0.07363992596876645,Loyal
0,0,1,1,12,1,2,2,1,1,1,1,1,1,2,0,1,25.25,2382,0,0.039853386562335016,Loyal
0,0,0,0,14,1,0,1,0,2,0,0,0,2,0,1,2,86.3,338,1,0.5799500667611973,Dormant
0,0,1,0,70,0,1,0,2,0,2,2,0,2,2,1,0,49.85,2926,0,0.018775933518217682,Loyal
0,1,0,0,64,1,2,1,2,0,2,2,2,2,0,1,0,108.95,5581,0,0.24147714814589852,Loyal
0,0,1,1,66,1,2,0,2,2,2,2,2,2,2,0,1,89.9,4882,0,0.012885642299047071,Loyal
0,0,1,1,71,1,0,0,2,0,2,2,2,2,2,1,1,82.0,4909,0,0.013676489603529473,Loyal
1,1,0,0,20,1,0,1,0,0,0,0,2,2,0,0,2,89.95,1124,0,0.5809015787107991,Dormant
1,0,1,0,72,1,0,0,2,2,0,2,2,2,2,1,0,79.35,4750,0,0.01159431571086002,Loyal
0,0,1,1,71,1,0,0,2,2,2,2,0,0,2,0,1,64.05,3807,0,0.003987470399600913,Loyal
1,0,1,1,38,1,2,1,0,0,2,0,2,2,0,1,1,101.15,3381,0,0.5369925075257141,Dormant
0,0,0,0,28,1,2,1,0,2,0,0,0,2,0,1,2,89.95,2273,1,0.5573988016442696,Dormant
1,1,1,0,17,1,0,1,0,2,0,0,0,0,0,1,2,76.45,427,1,0.515056221459174,Dormant
1,0,0,0,33,0,1,0,0,2,0,0,2,0,1,1,2,39.1,566,0,0.16952930458211204,Loyal
0,0,1,1,23,0,1,0,2,0,0,2,0,0,2,0,3,34.6,6078,0,0.05183187201830172,Loyal
1,0,1,1,58,1,0,2,1,1,1,1,1,1,1,1,2,19.55,208,0,0.016267212504186158,Loyal
0,1,1,0,70,1,2,1,0,2,0,2,2,2,2,1,0,104.45,5694,0,0.08055687071193422,Loyal
1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,2,70.5,2541,0,0.557657719269934,Dormant
1,0,1,1,45,1,0,2,1,1,1,1,1,1,2,0,3,20.35,6387,0,0.013460863032736524,Loyal
1,0,0,0,10,1,0,1,0,0,0,0,0,0,0,1,2,70.0,5726,1,0.6130403900811995,Dormant
